"image_id","reference_name","reference_path","width","height","source_tif","frame_index"
"85min_after_washout_frame_004","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_004_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","4"
"85min_after_washout_frame_004","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_004_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","4"
"85min_after_washout_frame_005","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_005_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","5"
"85min_after_washout_frame_005","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_005_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","5"
"85min_after_washout_frame_005","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_005_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","5"
"85min_after_washout_frame_006","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_006_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","6"
"85min_after_washout_frame_006","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_006_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","6"
"85min_after_washout_frame_006","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_006_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","6"
"85min_after_washout_frame_007","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_007_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","7"
"85min_after_washout_frame_007","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_007_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","7"
"85min_after_washout_frame_007","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_007_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","7"
"85min_after_washout_frame_008","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_008_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","8"
"85min_after_washout_frame_008","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_008_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","8"
"85min_after_washout_frame_008","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_008_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","8"
"85min_after_washout_frame_009","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_009_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","9"
"85min_after_washout_frame_009","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_009_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","9"
"85min_after_washout_frame_009","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_009_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","9"
"85min_after_washout_frame_010","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_010_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","10"
"85min_after_washout_frame_010","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_010_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","10"
"85min_after_washout_frame_010","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_010_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","10"
"85min_after_washout_frame_011","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_011_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","11"
"85min_after_washout_frame_011","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_011_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","11"
"85min_after_washout_frame_011","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_011_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","11"
"85min_after_washout_frame_012","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_012_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","12"
"85min_after_washout_frame_012","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_012_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","12"
"85min_after_washout_frame_012","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_012_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","12"
"85min_after_washout_frame_013","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_013_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","13"
"85min_after_washout_frame_013","GFP projected","result_pic\from_source_tifs\references\GFP_projected\85min after washout_frame_013_GFP_projected.png","256","256","20240724_image processing project\85min after washout GFP_center.tif","13"
"85min_after_washout_frame_013","mCherry projected","result_pic\from_source_tifs\references\mCherry_projected\85min after washout_frame_013_mCherry_projected.png","256","256","20240724_image processing project\85min after washout_mCherry_center.tif","13"
"85min_after_washout_frame_014","Trans","result_pic\from_source_tifs\references\Trans\85min after washout_frame_014_Trans.png","256","256","20240724_image processing project\85min after washout Trans_center.tif","14"
